,C,Precision,Recall,Fscore
1,0.001,0,0.0,0
2,0.002,0.9455,0.325,0.4407
3,0.003,0.6859,0.8188,0.7599
4,0.004,0.7033,0.8,0.7583
5,0.005,0.7257,0.7938,0.7651
6,0.006,0.7423,0.7562,0.7506
7,0.007,0.7673,0.7625,0.7644
8,0.008,0.7628,0.7438,0.7513
9,0.009,0.7628,0.7438,0.7513
10,0.01,0.7662,0.7375,0.7487
11,0.011,0.7697,0.7312,0.7461
12,0.012,0.7682,0.725,0.7417
13,0.013,0.7718,0.7188,0.7391
14,0.014,0.777,0.7188,0.741
15,0.015,0.7671,0.7,0.7254
16,0.016,0.7655,0.6938,0.7208
17,0.017,0.7619,0.7,0.7235
18,0.018,0.7586,0.6875,0.7143
19,0.019,0.7586,0.6875,0.7143
20,0.02,0.7626,0.6625,0.6992
21,0.021,0.7571,0.6625,0.6974
22,0.022,0.7571,0.6625,0.6974
23,0.023,0.7518,0.6438,0.683
24,0.024,0.7591,0.65,0.6896
25,0.025,0.7591,0.65,0.6896
26,0.026,0.7626,0.6625,0.6992
27,0.027,0.7626,0.6625,0.6992
28,0.028,0.7643,0.6688,0.704
29,0.029,0.7643,0.6688,0.704
30,0.03,0.7589,0.6688,0.7021
31,0.031,0.7448,0.675,0.7013
32,0.032,0.7448,0.675,0.7013
33,0.033,0.7397,0.675,0.6995
34,0.034,0.7397,0.675,0.6995
35,0.035,0.7333,0.6875,0.7051
36,0.036,0.7237,0.6875,0.7015
37,0.037,0.72,0.675,0.6923
38,0.038,0.72,0.675,0.6923
39,0.039,0.72,0.675,0.6923
40,0.04,0.72,0.675,0.6923
41,0.041,0.72,0.675,0.6923
42,0.042,0.72,0.675,0.6923
43,0.043,0.72,0.675,0.6923
44,0.044,0.72,0.675,0.6923
45,0.045,0.72,0.675,0.6923
46,0.046,0.7181,0.6688,0.6877
47,0.047,0.7181,0.6688,0.6877
48,0.048,0.7181,0.6688,0.6877
49,0.049,0.723,0.6688,0.6895
50,0.05,0.723,0.6688,0.6895
51,0.051,0.723,0.6688,0.6895
52,0.052,0.723,0.6688,0.6895
53,0.053,0.7181,0.6688,0.6877
54,0.054,0.7133,0.6688,0.6859
55,0.055,0.7152,0.675,0.6905
56,0.056,0.7133,0.6688,0.6859
57,0.057,0.7133,0.6688,0.6859
58,0.058,0.7133,0.6688,0.6859
59,0.059,0.8817,0.5125,0.6156
60,0.06,0.8901,0.5062,0.6117
61,0.061,0.8901,0.5062,0.6117
62,0.062,0.8876,0.4938,0.6003
63,0.063,0.8889,0.5,0.6061
64,0.064,0.8876,0.4938,0.6003
65,0.065,0.8864,0.4875,0.5945
66,0.066,0.8851,0.4812,0.5886
67,0.067,0.8851,0.4812,0.5886
68,0.068,0.8851,0.4812,0.5886
69,0.069,0.8837,0.475,0.5828
70,0.07,0.8539,0.475,0.5775
71,0.071,0.8506,0.4625,0.5658
72,0.072,0.8391,0.4562,0.5581
73,0.073,0.8391,0.4562,0.5581
74,0.074,0.8391,0.4562,0.5581
75,0.075,0.8372,0.45,0.5521
76,0.076,0.8372,0.45,0.5521
77,0.077,0.8391,0.4562,0.5581
78,0.078,0.8372,0.45,0.5521
79,0.079,0.8372,0.45,0.5521
80,0.08,0.8488,0.4562,0.5598
81,0.081,0.8471,0.45,0.5539
82,0.082,0.8471,0.45,0.5539
83,0.083,0.8471,0.45,0.5539
84,0.084,0.8471,0.45,0.5539
85,0.085,0.8471,0.45,0.5539
86,0.086,0.8471,0.45,0.5539
87,0.087,0.8488,0.4562,0.5598
88,0.088,0.8471,0.45,0.5539
89,0.089,0.8452,0.4438,0.5479
90,0.09,0.8452,0.4438,0.5479
91,0.091,0.8452,0.4438,0.5479
92,0.092,0.8452,0.4438,0.5479
93,0.093,0.8452,0.4438,0.5479
94,0.094,0.6966,0.6312,0.6558
95,0.095,0.6966,0.6312,0.6558
96,0.096,0.6966,0.6312,0.6558
97,0.097,0.6966,0.6312,0.6558
98,0.098,0.8415,0.4312,0.5357
99,0.099,0.6966,0.6312,0.6558
100,0.1,0.6986,0.6375,0.6606
101,0.101,0.6966,0.6312,0.6558
102,0.102,0.7014,0.6312,0.6575
103,0.103,0.6966,0.6312,0.6558
104,0.104,0.6966,0.6312,0.6558
105,0.105,0.6966,0.6312,0.6558
106,0.106,0.6966,0.6312,0.6558
107,0.107,0.6966,0.6312,0.6558
108,0.108,0.6966,0.6312,0.6558
109,0.109,0.7014,0.6312,0.6575
110,0.11,0.7014,0.6312,0.6575
111,0.111,0.7014,0.6312,0.6575
112,0.112,0.8519,0.4312,0.5373
113,0.113,0.7014,0.6312,0.6575
114,0.114,0.7014,0.6312,0.6575
115,0.115,0.7014,0.6312,0.6575
116,0.116,0.7014,0.6312,0.6575
117,0.117,0.6986,0.6375,0.6606
118,0.118,0.6944,0.625,0.651
119,0.119,0.7014,0.6312,0.6575
120,0.12,0.7014,0.6312,0.6575
121,0.121,0.6993,0.625,0.6527
122,0.122,0.6993,0.625,0.6527
123,0.123,0.6944,0.625,0.651
124,0.124,0.6993,0.625,0.6527
125,0.125,0.6993,0.625,0.6527
126,0.126,0.7042,0.625,0.6544
127,0.127,0.6993,0.625,0.6527
128,0.128,0.6993,0.625,0.6527
129,0.129,0.6993,0.625,0.6527
130,0.13,0.6993,0.625,0.6527
131,0.131,0.6944,0.625,0.651
132,0.132,0.6993,0.625,0.6527
133,0.133,0.6993,0.625,0.6527
134,0.134,0.6993,0.625,0.6527
135,0.135,0.6993,0.625,0.6527
136,0.136,0.6993,0.625,0.6527
137,0.137,0.6993,0.625,0.6527
138,0.138,0.6993,0.625,0.6527
139,0.139,0.6972,0.6188,0.6479
140,0.14,0.6972,0.6188,0.6479
141,0.141,0.695,0.6125,0.643
142,0.142,0.695,0.6125,0.643
143,0.143,0.695,0.6125,0.643
144,0.144,0.695,0.6125,0.643
145,0.145,0.6906,0.6,0.6332
146,0.146,0.6929,0.6062,0.6381
147,0.147,0.6901,0.6125,0.6413
148,0.148,0.6857,0.6,0.6316
149,0.149,0.6875,0.6188,0.6446
150,0.15,0.6831,0.6062,0.6348
151,0.151,0.6831,0.6062,0.6348
152,0.152,0.6831,0.6062,0.6348
153,0.153,0.6831,0.6062,0.6348
154,0.154,0.6809,0.6,0.6299
155,0.155,0.6809,0.6,0.6299
156,0.156,0.6809,0.6,0.6299
157,0.157,0.6809,0.6,0.6299
158,0.158,0.6809,0.6,0.6299
159,0.159,0.6809,0.6,0.6299
160,0.16,0.6809,0.6,0.6299
161,0.161,0.6809,0.6,0.6299
162,0.162,0.6809,0.6,0.6299
163,0.163,0.6809,0.6,0.6299
164,0.164,0.6857,0.6,0.6316
165,0.165,0.6857,0.6,0.6316
166,0.166,0.6835,0.5938,0.6267
167,0.167,0.6857,0.6,0.6316
168,0.168,0.6884,0.5938,0.6283
169,0.169,0.6835,0.5938,0.6267
170,0.17,0.6835,0.5938,0.6267
171,0.171,0.6835,0.5938,0.6267
172,0.172,0.6835,0.5938,0.6267
173,0.173,0.6835,0.5938,0.6267
174,0.174,0.6884,0.5938,0.6283
175,0.175,0.6835,0.5938,0.6267
176,0.176,0.6835,0.5938,0.6267
177,0.177,0.6835,0.5938,0.6267
178,0.178,0.6835,0.5938,0.6267
179,0.179,0.6835,0.5938,0.6267
180,0.18,0.6884,0.5938,0.6283
181,0.181,0.6884,0.5938,0.6283
182,0.182,0.6835,0.5938,0.6267
183,0.183,0.6884,0.5938,0.6283
184,0.184,0.6884,0.5938,0.6283
185,0.185,0.6861,0.5875,0.6233
186,0.186,0.6835,0.5938,0.6267
187,0.187,0.6884,0.5938,0.6283
188,0.188,0.6884,0.5938,0.6283
189,0.189,0.6884,0.5938,0.6283
190,0.19,0.6884,0.5938,0.6283
191,0.191,0.6884,0.5938,0.6283
192,0.192,0.6884,0.5938,0.6283
