,C,Precision,Recall,Fscore
154,15.4,0.7848,0.7429,0.7591
155,15.5,0.7835,0.7429,0.7586
156,15.6,0.7835,0.7429,0.7586
157,15.7,0.7842,0.7462,0.7609
158,15.8,0.7842,0.7462,0.7609
159,15.9,0.7842,0.7462,0.7609
160,16.0,0.7828,0.7462,0.7604
161,16.1,0.7832,0.7479,0.7616
162,16.2,0.7832,0.7479,0.7616
163,16.3,0.7832,0.7479,0.7616
164,16.4,0.7832,0.7479,0.7616
165,16.5,0.7832,0.7479,0.7616
166,16.6,0.7818,0.7479,0.7611
167,16.7,0.7822,0.7496,0.7623
168,16.8,0.7809,0.7496,0.7618
169,16.9,0.7799,0.7513,0.7625
170,17.0,0.7799,0.7513,0.7625
171,17.1,0.7803,0.7529,0.7636
172,17.2,0.7789,0.7529,0.7631
173,17.3,0.7789,0.7529,0.7631
174,17.4,0.7789,0.7529,0.7631
175,17.5,0.7789,0.7529,0.7631
176,17.6,0.7776,0.7529,0.7626
177,17.7,0.7776,0.7529,0.7626
178,17.8,0.7776,0.7529,0.7626
179,17.9,0.7776,0.7529,0.7626
180,18.0,0.778,0.7546,0.7638
181,18.1,0.778,0.7546,0.7638
182,18.2,0.778,0.7546,0.7638
183,18.3,0.7766,0.7546,0.7632
184,18.4,0.7766,0.7546,0.7632
185,18.5,0.774,0.7546,0.7622
186,18.6,0.774,0.7546,0.7622
187,18.7,0.774,0.7546,0.7622
188,18.8,0.774,0.7546,0.7622
189,18.9,0.774,0.7546,0.7622
190,19.0,0.774,0.7546,0.7622
191,19.1,0.7757,0.7563,0.7639
192,19.2,0.7757,0.7563,0.7639
193,19.3,0.7744,0.7563,0.7634
194,19.4,0.7726,0.7546,0.7617
195,19.5,0.774,0.7546,0.7622
196,19.6,0.7726,0.7546,0.7617
197,19.7,0.7726,0.7546,0.7617
198,19.8,0.7726,0.7546,0.7617
199,19.9,0.7713,0.7546,0.7612
200,20.0,0.7709,0.7529,0.76
201,20.1,0.7705,0.7513,0.7589
202,20.2,0.7705,0.7513,0.7589
203,20.3,0.7698,0.7479,0.7565
204,20.4,0.7698,0.7479,0.7565
205,20.5,0.7698,0.7479,0.7565
206,20.6,0.7698,0.7479,0.7565
207,20.7,0.7698,0.7479,0.7565
208,20.8,0.7698,0.7479,0.7565
209,20.9,0.7698,0.7479,0.7565
210,21.0,0.7698,0.7479,0.7565
211,21.1,0.7698,0.7479,0.7565
212,21.2,0.7684,0.7479,0.756
213,21.3,0.7684,0.7479,0.756
214,21.4,0.7684,0.7479,0.756
215,21.5,0.7684,0.7479,0.756
216,21.6,0.7698,0.7479,0.7565
217,21.7,0.7698,0.7479,0.7565
218,21.8,0.7684,0.7479,0.756
219,21.9,0.7684,0.7479,0.756
220,22.0,0.7688,0.7496,0.7572
221,22.1,0.7688,0.7496,0.7572
222,22.2,0.7675,0.7496,0.7567
223,22.3,0.7671,0.7479,0.7555
224,22.4,0.7671,0.7479,0.7555
225,22.5,0.7671,0.7479,0.7555
226,22.6,0.7671,0.7479,0.7555
227,22.7,0.7654,0.7462,0.7538
228,22.8,0.7641,0.7462,0.7533
229,22.9,0.7641,0.7462,0.7533
230,23.0,0.7628,0.7462,0.7528
231,23.1,0.7628,0.7462,0.7528
232,23.2,0.7632,0.7479,0.7539
233,23.3,0.7636,0.7496,0.7551
234,23.4,0.7636,0.7496,0.7551
235,23.5,0.7636,0.7496,0.7551
236,23.6,0.7623,0.7496,0.7546
237,23.7,0.761,0.7496,0.7541
238,23.8,0.7597,0.7496,0.7536
239,23.9,0.7597,0.7496,0.7536
240,24.0,0.7597,0.7496,0.7536
241,24.1,0.7597,0.7496,0.7536
242,24.2,0.7597,0.7496,0.7536
243,24.3,0.7593,0.7479,0.7524
244,24.4,0.7593,0.7479,0.7524
245,24.5,0.7593,0.7479,0.7524
246,24.6,0.7593,0.7479,0.7524
247,24.7,0.7589,0.7462,0.7512
248,24.8,0.7589,0.7462,0.7512
