C,Precision,Recall,Fscore
34.2,0.8228,0.6745,0.7269
39.6,0.8228,0.6745,0.7269
44.4,0.8228,0.6745,0.7269
45.1,0.8228,0.6745,0.7269
18,0.8211,0.6745,0.7264
18.3,0.8211,0.6745,0.7264
18.4,0.8211,0.6745,0.7264
18.7,0.8211,0.6745,0.7264
18.8,0.8211,0.6745,0.7264
19,0.8211,0.6745,0.7264
19.3,0.8211,0.6745,0.7264
19.4,0.8211,0.6745,0.7264
19.5,0.8211,0.6745,0.7264
19.6,0.8211,0.6745,0.7264
19.7,0.8211,0.6745,0.7264
19.8,0.8211,0.6745,0.7264
19.9,0.8211,0.6745,0.7264
20,0.8211,0.6745,0.7264
20.1,0.8211,0.6745,0.7264
20.2,0.8211,0.6745,0.7264
20.3,0.8211,0.6745,0.7264
20.4,0.8211,0.6745,0.7264
20.5,0.8211,0.6745,0.7264
20.6,0.8211,0.6745,0.7264
20.7,0.8211,0.6745,0.7264
20.8,0.8211,0.6745,0.7264
20.9,0.8211,0.6745,0.7264
21.1,0.8211,0.6745,0.7264
21.2,0.8211,0.6745,0.7264
21.6,0.8211,0.6745,0.7264
21.7,0.8211,0.6745,0.7264
21.8,0.8211,0.6745,0.7264
21.9,0.8211,0.6745,0.7264
22.1,0.8211,0.6745,0.7264
22.2,0.8211,0.6745,0.7264
22.3,0.8211,0.6745,0.7264
22.4,0.8211,0.6745,0.7264
22.5,0.8211,0.6745,0.7264
22.7,0.8211,0.6745,0.7264
22.8,0.8211,0.6745,0.7264
23,0.8211,0.6745,0.7264
23.1,0.8211,0.6745,0.7264
23.3,0.8211,0.6745,0.7264
23.5,0.8211,0.6745,0.7264
23.7,0.8211,0.6745,0.7264
23.8,0.8211,0.6745,0.7264
24.3,0.8211,0.6745,0.7264
24.4,0.8211,0.6745,0.7264
24.5,0.8211,0.6745,0.7264
24.7,0.8211,0.6745,0.7264
24.8,0.8211,0.6745,0.7264
25.3,0.8211,0.6745,0.7264
25.4,0.8211,0.6745,0.7264
25.5,0.8211,0.6745,0.7264
25.7,0.8211,0.6745,0.7264
26.4,0.8211,0.6745,0.7264
26.5,0.8211,0.6745,0.7264
27.3,0.8211,0.6745,0.7264
27.4,0.8211,0.6745,0.7264
28.4,0.8211,0.6745,0.7264
29,0.8211,0.6745,0.7264
29.2,0.8211,0.6745,0.7264
29.9,0.8211,0.6745,0.7264
30.2,0.8211,0.6745,0.7264
30.3,0.8211,0.6745,0.7264
