,C,Precision,Recall,Fscore
154,0.154,0.6986,0.6461,0.6661
155,0.155,0.6986,0.6461,0.6661
156,0.156,0.6986,0.6461,0.6661
157,0.157,0.7005,0.6444,0.6657
158,0.158,0.6987,0.6427,0.664
159,0.159,0.6975,0.6427,0.6636
160,0.16,0.6987,0.6427,0.664
161,0.161,0.6975,0.6427,0.6636
162,0.162,0.6975,0.6427,0.6636
163,0.163,0.698,0.6444,0.6648
164,0.164,0.6993,0.6444,0.6653
165,0.165,0.6987,0.6427,0.664
166,0.166,0.6969,0.6411,0.6623
167,0.167,0.6976,0.6394,0.6615
168,0.168,0.6958,0.6377,0.6597
169,0.169,0.6958,0.6377,0.6597
170,0.17,0.6958,0.6377,0.6597
171,0.171,0.6958,0.6377,0.6597
172,0.172,0.6953,0.6361,0.6585
173,0.173,0.6958,0.6377,0.6597
174,0.174,0.6965,0.6361,0.659
175,0.175,0.6965,0.6361,0.659
176,0.176,0.6953,0.6361,0.6585
177,0.177,0.6953,0.6361,0.6585
178,0.178,0.694,0.6361,0.6581
179,0.179,0.6934,0.6344,0.6568
180,0.18,0.6934,0.6344,0.6568
181,0.181,0.6909,0.6344,0.6559
182,0.182,0.6929,0.6327,0.6555
183,0.183,0.6923,0.6311,0.6542
184,0.184,0.6916,0.6327,0.655
185,0.185,0.6916,0.6327,0.655
186,0.186,0.691,0.6311,0.6538
187,0.187,0.691,0.6311,0.6538
188,0.188,0.6916,0.6327,0.655
189,0.189,0.6898,0.6311,0.6533
190,0.19,0.6905,0.6294,0.6525
191,0.191,0.6899,0.6277,0.6512
192,0.192,0.6874,0.6277,0.6503
193,0.193,0.688,0.6294,0.6516
194,0.194,0.6899,0.6277,0.6512
195,0.195,0.6874,0.6277,0.6503
196,0.196,0.6874,0.6277,0.6503
197,0.197,0.6875,0.6244,0.6482
198,0.198,0.6868,0.626,0.649
199,0.199,0.6862,0.6244,0.6477
200,0.2,0.6861,0.6277,0.6498
201,0.201,0.6863,0.621,0.6456
202,0.202,0.6851,0.621,0.6451
203,0.203,0.6875,0.6244,0.6482
204,0.204,0.6851,0.621,0.6451
205,0.205,0.6886,0.6277,0.6507
206,0.206,0.6851,0.621,0.6451
207,0.207,0.6862,0.6244,0.6477
208,0.208,0.685,0.6244,0.6473
209,0.209,0.6832,0.6227,0.6456
210,0.21,0.6857,0.6227,0.6465
211,0.211,0.6832,0.6194,0.6434
212,0.212,0.6845,0.6194,0.6439
213,0.213,0.6851,0.621,0.6451
214,0.214,0.6839,0.6177,0.6426
215,0.215,0.6832,0.6194,0.6434
216,0.216,0.6819,0.6227,0.6451
217,0.217,0.6825,0.6244,0.6464
218,0.218,0.682,0.6194,0.643
219,0.219,0.6808,0.616,0.6404
220,0.22,0.682,0.6194,0.643
221,0.221,0.682,0.6194,0.643
222,0.222,0.682,0.6194,0.643
223,0.223,0.6832,0.6194,0.6434
224,0.224,0.6832,0.6194,0.6434
225,0.225,0.682,0.6194,0.643
226,0.226,0.6808,0.616,0.6404
227,0.227,0.682,0.6194,0.643
228,0.228,0.6814,0.6177,0.6417
