,C,Precision,Recall,Fscore
156,0.156,0.7791,0.7713,0.7744
157,0.157,0.7766,0.7663,0.7704
158,0.158,0.7766,0.7663,0.7704
159,0.159,0.778,0.7663,0.7709
160,0.16,0.7783,0.7679,0.772
161,0.161,0.7783,0.7679,0.772
162,0.162,0.778,0.7663,0.7709
163,0.163,0.7793,0.7663,0.7714
164,0.164,0.7789,0.7646,0.7703
165,0.165,0.7793,0.7663,0.7714
166,0.166,0.7789,0.7646,0.7703
167,0.167,0.7789,0.7646,0.7703
168,0.168,0.7789,0.7646,0.7703
169,0.169,0.7789,0.7646,0.7703
170,0.17,0.7802,0.7646,0.7708
171,0.171,0.7802,0.7646,0.7708
172,0.172,0.7802,0.7646,0.7708
173,0.173,0.7816,0.7646,0.7713
174,0.174,0.7842,0.7646,0.7723
175,0.175,0.7842,0.7646,0.7723
176,0.176,0.7856,0.7646,0.7729
177,0.177,0.7856,0.7646,0.7729
178,0.178,0.7856,0.7646,0.7729
179,0.179,0.7856,0.7646,0.7729
180,0.18,0.7869,0.7646,0.7734
181,0.181,0.7869,0.7646,0.7734
182,0.182,0.7869,0.7646,0.7734
183,0.183,0.7869,0.7646,0.7734
184,0.184,0.7856,0.7646,0.7729
185,0.185,0.7829,0.7646,0.7718
186,0.186,0.7856,0.7646,0.7729
187,0.187,0.7842,0.7646,0.7723
188,0.188,0.7842,0.7646,0.7723
189,0.189,0.7842,0.7646,0.7723
190,0.19,0.7842,0.7646,0.7723
191,0.191,0.786,0.7663,0.7741
192,0.192,0.786,0.7663,0.7741
193,0.193,0.7873,0.7663,0.7746
194,0.194,0.7887,0.7663,0.7751
195,0.195,0.7914,0.7663,0.7761
196,0.196,0.7914,0.7663,0.7761
197,0.197,0.7914,0.7663,0.7761
198,0.198,0.7938,0.7646,0.776
199,0.199,0.7951,0.7646,0.7765
200,0.2,0.7951,0.7646,0.7765
201,0.201,0.7951,0.7646,0.7765
202,0.202,0.7976,0.7629,0.7764
203,0.203,0.7976,0.7629,0.7764
204,0.204,0.799,0.7629,0.7769
205,0.205,0.7976,0.7629,0.7764
206,0.206,0.7976,0.7629,0.7764
207,0.207,0.7976,0.7629,0.7764
208,0.208,0.7986,0.7613,0.7758
209,0.209,0.7986,0.7613,0.7758
210,0.21,0.7986,0.7613,0.7758
211,0.211,0.7986,0.7613,0.7758
212,0.212,0.7979,0.7579,0.7734
