,C,Precision,Recall,Fscore
154,15.4,0.7928,0.7028,0.7362
155,15.5,0.791,0.7012,0.7346
156,15.6,0.791,0.7012,0.7346
157,15.7,0.7895,0.7012,0.734
158,15.8,0.7899,0.7028,0.7352
159,15.9,0.7899,0.7028,0.7352
160,16.0,0.7914,0.7028,0.7357
161,16.1,0.7899,0.7028,0.7352
162,16.2,0.7869,0.7028,0.7342
163,16.3,0.7858,0.7045,0.7349
164,16.4,0.7858,0.7045,0.7349
165,16.5,0.7815,0.7045,0.7334
166,16.6,0.78,0.7045,0.7329
167,16.7,0.7794,0.7078,0.7348
168,16.8,0.7794,0.7078,0.7348
169,16.9,0.7784,0.7095,0.7355
170,17.0,0.7784,0.7095,0.7355
171,17.1,0.7796,0.7145,0.7392
172,17.2,0.7782,0.7145,0.7387
173,17.3,0.7776,0.7179,0.7406
174,17.4,0.7776,0.7179,0.7406
175,17.5,0.7776,0.7179,0.7406
176,17.6,0.7776,0.7179,0.7406
177,17.7,0.7762,0.7179,0.7401
178,17.8,0.7748,0.7179,0.7396
179,17.9,0.7734,0.7179,0.7391
180,18.0,0.7734,0.7179,0.7391
181,18.1,0.7734,0.7179,0.7391
182,18.2,0.7706,0.7179,0.7381
183,18.3,0.7692,0.7179,0.7376
184,18.4,0.7655,0.7195,0.7372
185,18.5,0.7655,0.7195,0.7372
186,18.6,0.7655,0.7195,0.7372
187,18.7,0.7655,0.7195,0.7372
188,18.8,0.766,0.7212,0.7385
189,18.9,0.7664,0.7229,0.7397
190,19.0,0.7664,0.7229,0.7397
191,19.1,0.7641,0.7245,0.7398
192,19.2,0.7614,0.7245,0.7388
193,19.3,0.7605,0.7262,0.7395
194,19.4,0.7592,0.7262,0.739
195,19.5,0.7587,0.7245,0.7378
196,19.6,0.7578,0.7262,0.7385
197,19.7,0.7578,0.7262,0.7385
198,19.8,0.7578,0.7262,0.7385
199,19.9,0.7548,0.7245,0.7363
200,20.0,0.7548,0.7245,0.7363
201,20.1,0.7548,0.7245,0.7363
202,20.2,0.7548,0.7245,0.7363
203,20.3,0.7552,0.7262,0.7375
204,20.4,0.7561,0.7295,0.7399
205,20.5,0.7561,0.7295,0.7399
206,20.6,0.7565,0.7312,0.7411
207,20.7,0.7539,0.7312,0.7401
208,20.8,0.753,0.7329,0.7408
209,20.9,0.753,0.7329,0.7408
210,21.0,0.7487,0.7362,0.7411
211,21.1,0.7487,0.7362,0.7411
212,21.2,0.7479,0.7379,0.7419
213,21.3,0.7466,0.7379,0.7414
214,21.4,0.747,0.7396,0.7425
215,21.5,0.7475,0.7412,0.7437
216,21.6,0.7475,0.7412,0.7437
217,21.7,0.745,0.7412,0.7427
218,21.8,0.7437,0.7412,0.7422
219,21.9,0.7429,0.7429,0.7429
220,22.0,0.7429,0.7429,0.7429
221,22.1,0.7429,0.7429,0.7429
222,22.2,0.7404,0.7429,0.7419
223,22.3,0.7392,0.7429,0.7414
224,22.4,0.7392,0.7429,0.7414
225,22.5,0.738,0.7429,0.7409
226,22.6,0.738,0.7429,0.7409
227,22.7,0.738,0.7429,0.7409
228,22.8,0.7372,0.7446,0.7416
229,22.9,0.7368,0.7429,0.7404
230,23.0,0.7348,0.7446,0.7406
231,23.1,0.7328,0.7462,0.7408
232,23.2,0.7316,0.7462,0.7403
233,23.3,0.7316,0.7462,0.7403
234,23.4,0.7292,0.7462,0.7393
235,23.5,0.7289,0.7496,0.7412
236,23.6,0.727,0.7513,0.7414
237,23.7,0.7274,0.7529,0.7425
238,23.8,0.7274,0.7529,0.7425
239,23.9,0.7274,0.7529,0.7425
240,24.0,0.7274,0.7529,0.7425
241,24.1,0.7262,0.7529,0.742
242,24.2,0.7232,0.7546,0.7417
243,24.3,0.7232,0.7546,0.7417
244,24.4,0.7236,0.7563,0.7429
245,24.5,0.7213,0.7563,0.7419
246,24.6,0.7213,0.7563,0.7419
247,24.7,0.7202,0.7563,0.7414
248,24.8,0.7202,0.7563,0.7414
249,24.9,0.7179,0.7563,0.7405
