,C,Precision,Recall,Fscore
154,0.154,0.7996,0.7195,0.7495
155,0.155,0.8011,0.7195,0.7501
156,0.156,0.8011,0.7195,0.7501
157,0.157,0.8019,0.7229,0.7526
158,0.158,0.8022,0.7245,0.7537
159,0.159,0.8019,0.7229,0.7526
160,0.16,0.8019,0.7229,0.7526
161,0.161,0.803,0.7212,0.7518
162,0.162,0.803,0.7212,0.7518
163,0.163,0.8026,0.7195,0.7506
164,0.164,0.8026,0.7195,0.7506
165,0.165,0.8026,0.7195,0.7506
166,0.166,0.8026,0.7195,0.7506
167,0.167,0.8026,0.7195,0.7506
168,0.168,0.8022,0.7179,0.7494
169,0.169,0.8022,0.7179,0.7494
170,0.17,0.8022,0.7179,0.7494
171,0.171,0.8022,0.7179,0.7494
172,0.172,0.8022,0.7179,0.7494
173,0.173,0.8022,0.7179,0.7494
174,0.174,0.8007,0.7179,0.7489
175,0.175,0.8007,0.7179,0.7489
176,0.176,0.8007,0.7179,0.7489
177,0.177,0.8022,0.7179,0.7494
178,0.178,0.8037,0.7179,0.7499
179,0.179,0.8037,0.7179,0.7499
180,0.18,0.8037,0.7179,0.7499
181,0.181,0.8037,0.7179,0.7499
182,0.182,0.8037,0.7179,0.7499
183,0.183,0.8022,0.7179,0.7494
184,0.184,0.8022,0.7179,0.7494
185,0.185,0.8022,0.7179,0.7494
186,0.186,0.8037,0.7179,0.7499
187,0.187,0.8037,0.7179,0.7499
188,0.188,0.8037,0.7179,0.7499
189,0.189,0.8037,0.7179,0.7499
190,0.19,0.8037,0.7179,0.7499
191,0.191,0.8037,0.7179,0.7499
192,0.192,0.8037,0.7179,0.7499
193,0.193,0.8037,0.7179,0.7499
194,0.194,0.8037,0.7179,0.7499
195,0.195,0.8037,0.7179,0.7499
196,0.196,0.8037,0.7179,0.7499
197,0.197,0.8037,0.7179,0.7499
198,0.198,0.8052,0.7179,0.7504
199,0.199,0.8052,0.7179,0.7504
200,0.2,0.8052,0.7179,0.7504
201,0.201,0.8052,0.7179,0.7504
202,0.202,0.8052,0.7179,0.7504
203,0.203,0.8052,0.7179,0.7504
204,0.204,0.8056,0.7195,0.7516
205,0.205,0.8056,0.7195,0.7516
206,0.206,0.8056,0.7195,0.7516
207,0.207,0.8056,0.7195,0.7516
208,0.208,0.8056,0.7195,0.7516
209,0.209,0.8052,0.7179,0.7504
210,0.21,0.8052,0.7179,0.7504
211,0.211,0.8052,0.7179,0.7504
212,0.212,0.8052,0.7179,0.7504
213,0.213,0.8052,0.7179,0.7504
214,0.214,0.8052,0.7179,0.7504
215,0.215,0.8052,0.7179,0.7504
216,0.216,0.8052,0.7179,0.7504
217,0.217,0.8049,0.7162,0.7492
218,0.218,0.8049,0.7162,0.7492
219,0.219,0.8049,0.7162,0.7492
220,0.22,0.8049,0.7162,0.7492
221,0.221,0.8049,0.7162,0.7492
222,0.222,0.8049,0.7162,0.7492
223,0.223,0.8049,0.7162,0.7492
224,0.224,0.8049,0.7162,0.7492
225,0.225,0.8049,0.7162,0.7492
226,0.226,0.8049,0.7162,0.7492
227,0.227,0.8045,0.7145,0.748
228,0.228,0.8045,0.7145,0.748
229,0.229,0.8045,0.7145,0.748
230,0.23,0.806,0.7145,0.7485
231,0.231,0.806,0.7145,0.7485
232,0.232,0.806,0.7145,0.7485
233,0.233,0.806,0.7145,0.7485
234,0.234,0.806,0.7145,0.7485
235,0.235,0.806,0.7145,0.7485
236,0.236,0.806,0.7145,0.7485
237,0.237,0.806,0.7145,0.7485
238,0.238,0.806,0.7145,0.7485
239,0.239,0.806,0.7145,0.7485
240,0.24,0.806,0.7145,0.7485
241,0.241,0.806,0.7145,0.7485
242,0.242,0.806,0.7145,0.7485
243,0.243,0.8064,0.7162,0.7497
244,0.244,0.8079,0.7162,0.7503
245,0.245,0.8079,0.7162,0.7503
246,0.246,0.8079,0.7162,0.7503
247,0.247,0.8079,0.7162,0.7503
248,0.248,0.8083,0.7179,0.7515
249,0.249,0.8083,0.7179,0.7515
250,0.25,0.8083,0.7179,0.7515
251,0.251,0.8079,0.7162,0.7503
252,0.252,0.8079,0.7162,0.7503
253,0.253,0.8079,0.7162,0.7503
254,0.254,0.8079,0.7162,0.7503
255,0.255,0.8079,0.7162,0.7503
256,0.256,0.8079,0.7162,0.7503
257,0.257,0.8079,0.7162,0.7503
258,0.258,0.8079,0.7162,0.7503
259,0.259,0.8079,0.7162,0.7503
260,0.26,0.8079,0.7162,0.7503
261,0.261,0.8079,0.7162,0.7503
262,0.262,0.8079,0.7162,0.7503
263,0.263,0.8083,0.7179,0.7515
264,0.264,0.8083,0.7179,0.7515
265,0.265,0.8083,0.7179,0.7515
266,0.266,0.8083,0.7179,0.7515
267,0.267,0.8083,0.7179,0.7515
268,0.268,0.8083,0.7179,0.7515
269,0.269,0.8083,0.7179,0.7515
270,0.27,0.8086,0.7195,0.7527
271,0.271,0.8086,0.7195,0.7527
272,0.272,0.8086,0.7195,0.7527
273,0.273,0.8086,0.7195,0.7527
274,0.274,0.8083,0.7179,0.7515
275,0.275,0.8083,0.7179,0.7515
276,0.276,0.8083,0.7179,0.7515
277,0.277,0.8079,0.7162,0.7503
278,0.278,0.8079,0.7162,0.7503
279,0.279,0.8079,0.7162,0.7503
280,0.28,0.8079,0.7162,0.7503
281,0.281,0.8083,0.7179,0.7515
282,0.282,0.8083,0.7179,0.7515
283,0.283,0.8083,0.7179,0.7515
284,0.284,0.8079,0.7162,0.7503
285,0.285,0.8094,0.7162,0.7508
286,0.286,0.8094,0.7162,0.7508
287,0.287,0.8094,0.7162,0.7508
288,0.288,0.8094,0.7162,0.7508
289,0.289,0.8094,0.7162,0.7508
290,0.29,0.8091,0.7145,0.7496
291,0.291,0.8091,0.7145,0.7496
292,0.292,0.8091,0.7145,0.7496
293,0.293,0.8087,0.7129,0.7484
294,0.294,0.8072,0.7129,0.7478
295,0.295,0.8072,0.7129,0.7478
296,0.296,0.8072,0.7129,0.7478
297,0.297,0.8072,0.7129,0.7478
298,0.298,0.8072,0.7129,0.7478
299,0.299,0.8087,0.7129,0.7484
300,0.3,0.8087,0.7129,0.7484
301,0.301,0.8087,0.7129,0.7484
302,0.302,0.8087,0.7129,0.7484
303,0.303,0.8087,0.7129,0.7484
304,0.304,0.8087,0.7129,0.7484
305,0.305,0.8087,0.7129,0.7484
306,0.306,0.8099,0.7112,0.7476
307,0.307,0.8099,0.7112,0.7476
308,0.308,0.8099,0.7112,0.7476
309,0.309,0.8099,0.7112,0.7476
310,0.31,0.8099,0.7112,0.7476
311,0.311,0.8099,0.7112,0.7476
312,0.312,0.8099,0.7112,0.7476
313,0.313,0.8083,0.7112,0.7471
314,0.314,0.8083,0.7112,0.7471
315,0.315,0.8083,0.7112,0.7471
316,0.316,0.8083,0.7112,0.7471
317,0.317,0.8083,0.7112,0.7471
318,0.318,0.8083,0.7112,0.7471
319,0.319,0.8083,0.7112,0.7471
320,0.32,0.8083,0.7112,0.7471
321,0.321,0.8083,0.7112,0.7471
322,0.322,0.8068,0.7112,0.7466
323,0.323,0.8068,0.7112,0.7466
324,0.324,0.8068,0.7112,0.7466
325,0.325,0.8068,0.7112,0.7466
326,0.326,0.8072,0.7129,0.7478
327,0.327,0.8072,0.7129,0.7478
328,0.328,0.8072,0.7129,0.7478
329,0.329,0.8072,0.7129,0.7478
330,0.33,0.8072,0.7129,0.7478
331,0.331,0.8072,0.7129,0.7478
332,0.332,0.8072,0.7129,0.7478
333,0.333,0.8072,0.7129,0.7478
334,0.334,0.8072,0.7129,0.7478
335,0.335,0.8072,0.7129,0.7478
336,0.336,0.8072,0.7129,0.7478
337,0.337,0.8087,0.7129,0.7484
338,0.338,0.8068,0.7112,0.7466
339,0.339,0.8068,0.7112,0.7466
340,0.34,0.8068,0.7112,0.7466
341,0.341,0.8068,0.7112,0.7466
342,0.342,0.8068,0.7112,0.7466
343,0.343,0.8068,0.7112,0.7466
344,0.344,0.8068,0.7112,0.7466
345,0.345,0.8068,0.7112,0.7466
346,0.346,0.8068,0.7112,0.7466
347,0.347,0.8068,0.7112,0.7466
348,0.348,0.8053,0.7112,0.7461
349,0.349,0.8053,0.7112,0.7461
350,0.35,0.8053,0.7112,0.7461
351,0.351,0.8061,0.7078,0.7441
352,0.352,0.8073,0.7062,0.7434
353,0.353,0.8073,0.7062,0.7434
354,0.354,0.8069,0.7045,0.7422
355,0.355,0.8065,0.7028,0.7409
356,0.356,0.8065,0.7028,0.7409
357,0.357,0.8065,0.7028,0.7409
358,0.358,0.8069,0.7045,0.7422
359,0.359,0.8069,0.7045,0.7422
360,0.36,0.8069,0.7045,0.7422
361,0.361,0.8069,0.7045,0.7422
362,0.362,0.8069,0.7045,0.7422
363,0.363,0.8069,0.7045,0.7422
364,0.364,0.8069,0.7045,0.7422
365,0.365,0.8069,0.7045,0.7422
366,0.366,0.8069,0.7045,0.7422
367,0.367,0.8069,0.7045,0.7422
368,0.368,0.8053,0.7045,0.7416
369,0.369,0.8057,0.7062,0.7429
370,0.37,0.8057,0.7062,0.7429
